"set","OA_with_date","OA_no_date","variables","set_name"
1,0.928092042186002,0.915627996164909,"NBR2","optical"
2,0.855225311601151,0.811121764141898,"B8A","optical"
3,0.879194630872483,0.849472674976031,"MSAVI8A","optical"
4,0.883029721955896,0.848513902205177,"MSAVI2","optical"
5,0.904122722914669,0.844678811121764,"BSI8A","optical"
6,0.749760306807287,0.702780441035475,"RVI_buff","SAR"
7,0.707574304889741,0.660594439117929,"VH_mean","SAR"
8,0.698945349952061,0.662511984659636,"VH_variance","SAR"
9,0.957813998082454,0.932885906040268,"NBR2, B8A","optical"
10,0.944391179290508,0.933844678811122,"NBR2, MSAVI8A","optical"
11,0.945349952061361,0.937679769894535,"NBR2, MSAVI2","optical"
12,0.954937679769895,0.929050814956855,"NBR2, BSI8A","optical"
13,0.932885906040268,0.920421860019175,"NBR2, RVI_buff","mixed"
14,0.931927133269415,0.910834132310642,"NBR2, VH_mean","mixed"
15,0.930968360498562,0.920421860019175,"NBR2, VH_variance","mixed"
16,0.913710450623202,0.906999041227229,"B8A, MSAVI8A","optical"
17,0.921380632790029,0.902205177372963,"B8A, MSAVI2","optical"
18,0.923298178331735,0.910834132310642,"B8A, BSI8A","optical"
19,0.874400767018217,0.827420901246405,"B8A, RVI_buff","mixed"
20,0.85810162991371,0.826462128475551,"B8A, VH_mean","mixed"
21,0.870565675934803,0.820709491850431,"B8A, VH_variance","mixed"
22,0.879194630872483,0.856184084372004,"MSAVI8A, MSAVI2","optical"
23,0.920421860019175,0.884947267497603,"MSAVI8A, BSI8A","optical"
24,0.888782358581016,0.853307766059444,"MSAVI8A, RVI_buff","mixed"
25,0.883029721955896,0.860019175455417,"MSAVI8A, VH_mean","mixed"
26,0.876318312559923,0.85810162991371,"MSAVI8A, VH_variance","mixed"
27,0.922339405560882,0.883029721955896,"MSAVI2, BSI8A","optical"
28,0.88686481303931,0.86960690316395,"MSAVI2, RVI_buff","mixed"
29,0.890699904122723,0.856184084372004,"MSAVI2, VH_mean","mixed"
30,0.890699904122723,0.854266538830297,"MSAVI2, VH_variance","mixed"
31,0.887823585810163,0.85810162991371,"BSI8A, RVI_buff","mixed"
32,0.888782358581016,0.841802492809204,"BSI8A, VH_mean","mixed"
33,0.89261744966443,0.848513902205177,"BSI8A, VH_variance","mixed"
34,0.754554170661553,0.730584851390221,"RVI_buff, VH_mean","SAR"
